MessageID	Timestamp	Payload
261	00:45:34.238374	261,-20
262	00:45:34.440341	262,221
263	00:45:34.751682	263,95
264	00:45:34.953649	264,-207
265	00:45:35.155622	265,-195
266	00:45:35.263365	266,112
267	00:45:35.449707	267,-166
268	00:45:35.651685	268,-200
269	00:45:35.963012	269,61
270	00:45:36.164983	270,-54
271	00:45:36.366949	271,147
272	00:45:36.460570	272,-13
273	00:45:36.662555	273,245
274	00:45:36.864552	274,-57
275	00:45:37.175375	275,189
276	00:45:37.376843	276,-158
277	00:45:37.579352	277,-168
278	00:45:37.670970	278,212
279	00:45:37.872936	279,-43
280	00:45:38.074403	280,-197
281	00:45:38.385724	281,-76
282	00:45:38.595232	282,-117
283	00:45:38.789698	283,87
284	00:45:38.897443	284,39
285	00:45:39.099176	285,127
286	00:45:39.301146	286,116
287	00:45:39.595737	287,-141
288	00:45:39.798208	288,287
289	00:45:40.000175	289,86
290	00:45:40.108412	290,-238
291	00:45:40.310378	291,87
292	00:45:40.511853	292,-102
293	00:45:40.807591	293,100
294	00:45:41.009057	294,-93
295	00:45:41.211051	295,-9
296	00:45:41.318790	296,95
297	00:45:41.611887	297,-235
298	00:45:41.815978	298,-166
299	00:45:42.017945	299,122
300	00:45:42.219410	300,-7
301	00:45:42.421377	301,197
302	00:45:42.627861	302,-220
303	00:45:42.836495	303,-298
304	00:45:43.026493	304,-169
305	00:45:43.229573	305,169
306	00:45:43.432650	306,150
307	00:45:43.643740	307,109
308	00:45:43.846818	308,-161
